Id,SMILES,Protein,Ligand,type,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,Binder prob mean,Binder prob std,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
test10,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(=O)[O-],1HWL.pdb,1HWL_0_processed.sdf,actives,33,482.554,0,0.200355176,0.397163166,-6.591377071,-0.545184446,-0.199738699,-0.016520741,4.945523194,0.437030215,4.882501534,0.40384033
test11,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1SQN.pdb,1SQN_0_processed.sdf,actives,22,298.426,0,1,0,-10.89518268,-0.317428409,-0.495235576,-0.014428564,8.06407186,0.281694639,8.070505687,0.235132155
test12,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,1SR7.pdb,1SR7_0_processed.sdf,actives,35,521.437,0,1,0,-13.76835106,-0.357934984,-0.393381459,-0.010226714,10.27715792,0.241665674,10.19877856,0.265137025
test13,CC(C)(C)c1onc(OCP(=O)([O-])[O-])c1C[C@H]([NH3+])C(=O)[O-],1VSO.pdb,1VSO_0_processed.sdf,actives,21,320.238,0,1,0,-7.104747002,-0.71219624,-0.338321286,-0.033914107,5.299521719,0.330374405,5.262775557,0.52755277
test34,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1YA3.pdb,1YA3_0_processed.sdf,actives,23,314.469,0,1,0,-10.80785627,-0.510686899,-0.469906794,-0.022203778,8.054778099,0.428043317,8.005819457,0.378286592
test35,Cn1c(C#N)ccc1-c1ccc2c(c1)C(C)(C)OC(=S)N2,1ZUC.pdb,1ZUC_0_processed.sdf,actives,21,297.383,0,1,0,-11.21464637,-0.60377316,-0.53403078,-0.028751103,8.215890884,0.496527001,8.307145459,0.447239378
test36,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,2A3I.pdb,2A3I_0_processed.sdf,actives,25,346.467,0,1,0,-10.95763122,-0.781221352,-0.438305249,-0.031248854,8.210793359,0.967194199,8.116763864,0.578682483
test37,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H]2C[C@]3(C(=O)O2)[C@@H](C(=O)CO)CC[C@@H]13,2AA2.pdb,2AA2_0_processed.sdf,actives,26,358.434,0,0.999865079,0.000269842,-10.60613781,-0.556201735,-0.407928377,-0.021392374,7.8940632,0.641914835,7.856398378,0.412001285
test58,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,2AB2.pdb,2AB2_0_processed.sdf,actives,29,416.583,0,1,0,-9.829503209,-0.539619752,-0.338948387,-0.018607578,7.5150874,0.435154507,7.281113488,0.399718335
test59,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N1CCC[C@H]1C(=O)[O-],2C6N.pdb,2C6N_0_processed.sdf,actives,29,405.495,0,1,0,-10.74042011,-0.782144817,-0.370359314,-0.026970511,7.946108001,0.616040744,7.955866746,0.579366531
test60,COc1cc(Nc2ncc3ccn(-c4ccccn4)c3n2)cc(OC)c1OC,2ETM.pdb,2ETM_0_processed.sdf,actives,28,377.404,0,1,0,-7.611455798,-0.536928813,-0.271837707,-0.019176029,5.622595855,0.265629317,5.638115406,0.397725047
test61,Cc1cn(C[C@H]([NH3+])C(=O)[O-])c(=O)n(Cc2ccsc2C(=O)[O-])c1=O,2F34.pdb,2F34_0_processed.sdf,actives,24,352.348,0,0.800013702,0.399972596,-9.082420788,-0.334311445,-0.3784342,-0.013929644,6.62970938,0.325996253,6.727719103,0.247638108
test62,[NH3+][C@@H](Cn1ccc(=O)n(Cc2ccccc2C(=O)[O-])c1=O)C(=O)[O-],2F35.pdb,2F35_0_processed.sdf,actives,24,332.292,0,0.998179603,0.003640378,-7.1831446,-0.465632432,-0.299297692,-0.019401351,5.324843339,0.336698171,5.320847852,0.344912913
test63,O=C(N[C@@H](Cc1ccccc1)[P@@](=O)([O-])[C@@H]1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-])OCc1ccccc1,2OC2.pdb,2OC2_0_processed.sdf,actives,44,615.623,0,1,0,-11.21702127,-0.213854695,-0.254932302,-0.004860334,8.604833467,0.414172003,8.308904648,0.158410886
test64,COC[C@]1(OC)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(/C=N/O)cc3)C[C@@]21C,2OVH.pdb,2OVH_0_processed.sdf,actives,33,449.591,0,1,0,-11.03723231,-0.606956219,-0.334461585,-0.018392613,8.397081579,0.327151675,8.17572764,0.449597199
test65,C/C(=C/C=C/[C@@H](C)C(=O)[O-])[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(=O)[O-],2PBW.pdb,2PBW_0_processed.sdf,actives,22,309.318,0,0.999999452,1.10E-06,-11.16127148,-0.451496228,-0.507330522,-0.020522556,8.070504393,0.411184654,8.267608506,0.334441651
test66,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)c1C(=O)Nc1ccccc1,2Q1L.pdb,2Q1L_0_processed.sdf,actives,42,575.632,0,0.979786122,0.036345259,-9.84111463,-0.584504811,-0.234312253,-0.013916781,7.356714112,0.438022964,7.289714541,0.432966527
test67,Cc1cn(C[C@H]([NH3+])C(=O)[O-])c(=O)n(Cc2c(C(=O)[O-])sc(Br)c2Br)c1=O,2QS1.pdb,2QS1_0_processed.sdf,actives,26,510.14,0,0.99997499,5.00E-05,-9.218174284,-0.545807832,-0.354545165,-0.020992609,6.891699791,0.348526722,6.828277247,0.404302098
test68,[NH3+][C@@H](Cn1cc(Br)c(=O)n(Cc2ccsc2C(=O)[O-])c1=O)C(=O)[O-],2QS2.pdb,2QS2_0_processed.sdf,actives,24,417.217,0,0.799988583,0.399993329,-9.100757258,-0.544110353,-0.379198219,-0.022671265,6.620909214,0.357320081,6.741301673,0.403044706
test69,Cc1cn(C[C@H]([NH3+])C(=O)[O-])c(=O)n(Cc2cc(-c3ccccc3)sc2C(=O)[O-])c1=O,2QS3.pdb,2QS3_0_processed.sdf,actives,30,428.446,0,0.800860966,0.398278069,-9.684117579,-0.365524185,-0.322803919,-0.012184139,7.280624253,0.491575876,7.173420429,0.270758655
test70,O=C([O-])[C@@H]1C[C@H]2C[C@@H](C[N@@H+]3CC(F)(F)C[C@H]3C(=O)[O-])CC[C@H]2C[NH2+]1,2QS4.pdb,2QS4_0_processed.sdf,actives,24,346.374,0,0.999998927,1.70E-06,-7.135917337,-0.588592237,-0.297329889,-0.024524677,5.210394246,0.506136462,5.285864694,0.43599425
test71,Cn1c(=O)[nH]c2cccc(OC[C@@H](O)C[NH2+]C(C)(C)Cc3ccc(Oc4ccc(C(N)=O)cn4)cc3)c21,2VT4.pdb,2VT4_1_processed.sdf,actives,37,506.583,0,1,0,-11.69645274,-1.162966579,-0.316120344,-0.031431529,8.691053527,0.803087376,8.664039067,0.861456725
test72,NS(=O)(=O)c1cc(C(=O)NCC[NH2+]C[C@@H](O)COc2cccc3c2CCC(=O)N3)ccc1Cl,2VT4.pdb,2VT4_10_processed.sdf,actives,33,497.981,0,0.999225426,0.001450605,-10.74408339,-0.555412257,-0.325578285,-0.016830674,8.069573471,0.324284845,7.95858029,0.411416487
test74,O[C@@H](C[NH2+]CC1CC[NH+](CCC(F)(F)F)CC1)COc1cccc2[nH]c3ccccc3c12,2VT4.pdb,2VT4_11_processed.sdf,actives,32,451.533,0,1,0,-9.719633276,-0.578861459,-0.30373854,-0.018089421,7.164136887,0.631965301,7.199728353,0.428786266
test76,CC(C)(C)[NH2+]C[C@@H](O)COc1cccc2c1CCC(=O)N2,2VT4.pdb,2VT4_12_processed.sdf,actives,21,293.387,0,1,0,-8.704655099,-0.636354964,-0.414507386,-0.030302617,6.415483338,0.518801517,6.447892666,0.471374047
test78,O=C(Nc1ccc(Oc2cccc(CC[NH2+]C[C@H](O)c3cccc(Cl)c3)c2)cc1C(=O)[O-])c1ccccc1,2VT4.pdb,2VT4_13_processed.sdf,actives,38,531.008,0,1,0,-10.51649599,-0.976362205,-0.276749895,-0.025693742,7.829344273,0.615772434,7.789997033,0.723231263
test80,O=C(Cc1cc2ccccc2c[nH+]1)Nc1ccc(CC[NH2+]C[C@H](O)COc2ccc(O)cc2)cc1,2VT4.pdb,2VT4_14_processed.sdf,actives,35,473.573,0,0.799989848,0.399992528,-9.450107871,-1.214564195,-0.270003082,-0.034701834,7.154336725,0.779048694,7.000079904,0.899677182
test82,COc1ccc(CC(C)(C)[NH2+]C[C@H](O)COc2cccc3[nH]c(=O)[nH]c23)cc1,2VT4.pdb,2VT4_15_processed.sdf,actives,28,386.472,0,0.999999666,6.68E-07,-9.412113261,-0.588861816,-0.336146902,-0.021030779,6.942326614,0.55735536,6.971935749,0.436193938
test84,CS(=O)(=O)[N-]c1ccc(C(=O)NCC[NH2+]C[C@H](O)COc2cccc3ccccc23)cc1,2VT4.pdb,2VT4_16_processed.sdf,actives,32,457.552,0,0.999996662,5.46E-06,-10.15414148,-0.699188461,-0.317316921,-0.021849639,7.487594264,0.52477211,7.521586282,0.517917379
test86,NS(=O)(=O)c1cc(S(=O)(=O)NCC[NH2+]C[C@@H](O)COc2cccc3ccccc23)ccc1Cl,2VT4.pdb,2VT4_17_processed.sdf,actives,33,515.033,0,0.40127744,0.488852623,-10.77039908,-0.696713954,-0.32637573,-0.021112544,8.056476457,0.295882108,7.978073393,0.51608441
test88,NS(=O)(=O)c1cc(C(=O)NCC[NH2+]C[C@H](O)COc2cccc3c2SCC(=O)N3)ccc1Cl,2VT4.pdb,2VT4_18_processed.sdf,actives,33,516.021,0,0.99865036,0.002695764,-10.09171621,-0.790399188,-0.305809582,-0.023951491,7.560969489,0.71986758,7.475345339,0.58548088
test90,CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,2VT4.pdb,2VT4_19_processed.sdf,actives,20,280.348,0,1,0,-8.31941699,-0.267461362,-0.415970849,-0.013373068,6.07493094,0.27376775,6.162531103,0.198119528
test93,O=C(Cc1cccc[nH+]1)Nc1ccc(CC[NH2+]C[C@H](O)COc2cccc3[nH]c(=O)[nH]c23)cc1,2VT4.pdb,2VT4_2_processed.sdf,actives,34,463.538,0,1,0,-10.63149554,-0.92444074,-0.312691045,-0.027189434,8.06710795,0.453071354,7.875181879,0.684770919
test94,NS(=O)(=O)c1cc(NCC[NH2+]C[C@H](O)COc2cccc3ccccc23)ccc1Cl,2VT4.pdb,2VT4_20_processed.sdf,actives,30,450.968,0,0.602405352,0.486439654,-10.381716,-1.172903346,-0.3460572,-0.039096778,7.662075247,0.546948375,7.690160002,0.868817293
test97,O=C([O-])c1cc(NC2CCOCC2)cc(Oc2ccc3c(c2)C[C@@H]([NH2+]C[C@H](O)c2cccc(Cl)c2)CC3)c1,2VT4.pdb,2VT4_3_processed.sdf,actives,38,537.056,0,0.387700068,0.443384365,-11.04831339,-0.338484434,-0.290745089,-0.008907485,8.381643159,0.341356358,8.183935847,0.25072921
test99,O=C(Nc1ccccc1)Nc1ccc(S(=O)(=O)N2CCC(C[NH2+]C[C@H](O)COc3ccc(O)cc3)CC2)cc1,2VT4.pdb,2VT4_4_processed.sdf,actives,39,555.677,0,0.999407315,0.001137646,-11.68747969,-0.70906756,-0.299678967,-0.018181219,8.598506791,0.425306113,8.657392366,0.525235229
test101,O=C(Cc1cccc[nH+]1)Nc1ccc(CC[NH2+]C[C@H](O)COc2cccc3[nH]c4ccccc4c23)cc1,2VT4.pdb,2VT4_5_processed.sdf,actives,37,496.611,0,0.900650358,0.198698568,-10.57984024,-0.852895833,-0.285941628,-0.023051239,7.896422795,0.697293641,7.836918695,0.631774691
test103,C[C@H](Cc1c[nH]c2c(OS(C)(=O)=O)cccc12)[NH2+]C[C@H](O)c1cccc(NCc2ccc3ccccc3c2)c1,2VT4.pdb,2VT4_6_processed.sdf,actives,39,544.697,0,0.981702125,0.030670156,-10.36940678,-0.341651893,-0.265882225,-0.008760305,7.699912207,0.377667446,7.681042058,0.253075477
test105,O=C(NCc1ccc(F)cc1)N1CCC(Nc2ccc(CC[NH2+]C[C@H](O)COc3ccc(O)cc3)cc2)CC1,2VT4.pdb,2VT4_7_processed.sdf,actives,39,537.656,0,1,0,-11.84244394,-0.573124656,-0.303652409,-0.014695504,8.892932279,0.547358797,8.772180693,0.424536782
test107,CC(C)([NH2+]C[C@H](O)COc1cccc2[nH]c(C#N)cc12)[C@H]1CC[C@@](C)(NC(=O)CBr)CC1,2VT4.pdb,2VT4_8_processed.sdf,actives,32,506.465,0,1,0,-11.85604816,-1.182733696,-0.370501505,-0.036960428,8.810546807,1.074224646,8.782257898,0.876099034
test109,O=C(NCC[NH2+]C[C@H](O)COc1cccc2ccccc12)c1ccc(-n2ccnc2)cc1,2VT4.pdb,2VT4_9_processed.sdf,actives,32,431.516,0,0.827342668,0.342478629,-9.778734878,-0.863171196,-0.305585465,-0.0269741,7.135544436,0.637542996,7.243507317,0.639386071
test111,[NH3+][C@@H](CC1=CCCCc2o[n-]c(=O)c21)C(=O)[O-],2WKY.pdb,2WKY_0_processed.sdf,actives,17,237.235,0,1,0,-8.34188777,-0.448209243,-0.490699281,-0.02636525,6.142374039,0.32173538,6.179176126,0.332006846
test112,O=C(N[C@@H](Cc1ccccc1)[P@@](=O)([O-])C[C@H](Cc1cc(-c2ccccc2)no1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)[O-])OCc1ccccc1,2XY9.pdb,2XY9_0_processed.sdf,actives,51,709.692,0,1,0,-11.61479962,-0.350658726,-0.227741169,-0.006875661,8.774492604,0.807025164,8.603555271,0.259747205
test113,O=C(N[C@@H](Cc1ccccc1)[P@@](=O)([O-])C[C@H](Cc1cc(-c2ccccc2)no1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)[O-])OCc1ccccc1,2XYD.pdb,2XYD_0_processed.sdf,actives,51,709.692,0,1,0,-10.64094173,-0.528333645,-0.208645916,-0.010359483,8.21873154,0.860986053,7.882179056,0.391358256
test114,NC(=[NH2+])c1ccc2oc(C(=O)N3CCN(C(=O)COc4ccc(OCC(=O)N5CC[NH2+]CC5)cc4)CC3)cc2c1,2ZEC.pdb,2ZEC_1_processed.sdf,actives,40,550.616,0,0.967081106,0.062959601,-9.031267047,-0.266353202,-0.225781676,-0.00665883,6.873775482,0.203102083,6.689827442,0.197298668
test115,Cc1c(Cl)nc(NCCc2c[nH]c[nH+]2)c(=O)n1CC(=O)Nc1cccc(C[NH3+])c1,2ZEC.pdb,2ZEC_10_processed.sdf,actives,29,417.901,0,0.920459509,0.15045055,-8.304962121,-0.653383922,-0.286378004,-0.02253048,6.232724462,0.597050254,6.151823793,0.48398809
test117,CCOC(=O)COc1ccc(OCC(=O)N2CCN(C(=O)c3cc4cc(C(N)=[NH2+])ccc4o3)CC2)cc1,2ZEC.pdb,2ZEC_11_processed.sdf,actives,37,509.539,0,0.384462735,0.469964681,-8.916359374,-0.493624064,-0.240982686,-0.013341191,6.686966692,0.263632055,6.604710647,0.365647455
test119,COCCn1cc(C(=O)N2CCC(c3cccc(C[NH3+])c3)CC2)c2cccc(C)c21,2ZEC.pdb,2ZEC_12_processed.sdf,actives,30,406.55,0,0.384740611,0.471145326,-7.781799214,-0.363083691,-0.259393307,-0.01210279,5.779423646,0.245362007,5.764295714,0.268950882
test121,[NH3+]Cc1cccc(C2CCN(C(=O)c3cn(CC4CC4)c4ccccc34)CC2)c1,2ZEC.pdb,2ZEC_13_processed.sdf,actives,29,388.535,0,0.391199903,0.464710577,-7.956457738,-0.134561552,-0.274360612,-0.004640054,5.945423807,0.250297731,5.893672398,0.099675223
test123,[NH3+]CCCC[C@H](NC(=O)OCc1ccccc1)C(=O)c1noc(Cc2ccc(C(=O)NCCc3cccs3)cc2)n1,2ZEC.pdb,2ZEC_14_processed.sdf,actives,41,576.699,0,8.97E-09,1.16E-08,-9.70827714,-1.129683163,-0.236787247,-0.027553248,7.358224119,0.765539951,7.1913164,0.836802343
test125,[NH3+]Cc1ccc(CCC[NH2+]CCNS(=O)(=O)c2ccc3sccc3c2)cc1,2ZEC.pdb,2ZEC_15_processed.sdf,actives,27,405.589,0,0.022241881,0.042486698,-7.645528804,-0.545488709,-0.283167733,-0.020203286,5.86737551,0.557786936,5.663354669,0.40406571
test127,[NH3+]Cc1ccc(CCC[NH2+]CCNS(=O)(=O)c2ccc3ccccc3c2Cl)cc1,2ZEC.pdb,2ZEC_16_processed.sdf,actives,29,434.005,0,0.220505569,0.390668525,-7.8784141,-0.334588122,-0.271669452,-0.011537521,6.010424546,0.366832282,5.835862296,0.247843053
test129,Cc1c(Cl)nc(NC2Cc3ccccc3C2)c(=O)n1CC(=O)Nc1cccc(C[NH3+])c1,2ZEC.pdb,2ZEC_17_processed.sdf,actives,31,438.939,0,0.001579901,0.002208831,-8.251692622,-0.797616312,-0.266183633,-0.025729558,6.138971533,0.465085369,6.112364905,0.590826898
test131,CC(C)(C)OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCNC(N)=[NH2+])[C@H]2C(N)=O)CC1,2ZEC.pdb,2ZEC_18_processed.sdf,actives,30,426.498,0,0.94809463,0.103808594,-7.235301733,-0.655538754,-0.241176724,-0.021851292,5.431238106,0.451941433,5.359482765,0.485584262
test133,[NH3+]Cc1cccc(C2CCN(C(=O)c3cn(CC4CCCCC4)c4ccccc34)CC2)c1,2ZEC.pdb,2ZEC_19_processed.sdf,actives,32,430.616,0,0.216273746,0.392268213,-8.189888825,-0.593276741,-0.255934026,-0.018539898,6.160468102,0.318812514,6.066584315,0.439464252
test136,NC(=[NH2+])c1ccc2oc(C(=O)N3CCN(C(=O)COc4ccc(OCC(=O)N5CCCCC5)cc4)CC3)cc2c1,2ZEC.pdb,2ZEC_2_processed.sdf,actives,40,548.62,0,0.803908297,0.303822813,-9.325928644,-0.510673909,-0.233148216,-0.012766848,7.059900761,0.383799093,6.908095292,0.378276969
test137,[NH3+]Cc1cccc(C2CCN(C(=O)c3cn(-c4cccnc4)c4ccccc34)CC2)c1,2ZEC.pdb,2ZEC_20_processed.sdf,actives,31,411.529,0,0.321701788,0.412780121,-8.634913189,-0.611762449,-0.278545587,-0.019734273,6.360323089,0.317205309,6.396231992,0.45315737
test140,NC(=[NH2+])NCCC[C@H](NC(=O)c1ccc2ccccc2c1O)C(=O)N1CCC[C@H]1C(N)=O,2ZEC.pdb,2ZEC_3_processed.sdf,actives,32,441.512,0,0.999999952,9.54E-08,-8.669172232,-0.147901489,-0.270911632,-0.004621922,6.47639949,0.208774609,6.421609061,0.109556658
test142,Cc1c(Cl)nc(NC[C@H]2CCC[NH2+]C2)c(=O)n1CC(=O)Nc1cccc(C[NH3+])c1,2ZEC.pdb,2ZEC_4_processed.sdf,actives,29,420.945,0,0.350072432,0.434589724,-8.152090277,-0.353986449,-0.281106561,-0.012206429,5.939435278,0.321739915,6.03858539,0.262212184
test144,NC(=[NH2+])c1ccc(C(=O)NCC2CCN(C(=O)NCCC(c3ccccc3)c3ccccc3)CC2)cc1,2ZEC.pdb,2ZEC_5_processed.sdf,actives,37,498.651,0,0.403730716,0.486884963,-8.954115067,-0.356925287,-0.24200311,-0.009646629,6.632807732,0.339079379,6.632677828,0.264389102
test146,CC(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)c1nccs1,2ZEC.pdb,2ZEC_6_processed.sdf,actives,27,397.481,0,0.990264738,0.009062444,-7.016396601,-0.412589497,-0.259866541,-0.015281092,5.175093991,0.262064104,5.197330815,0.305621849
test148,Cc1cc(C)c(CNc2nc(Cl)c(C)n(CC(=O)Nc3cccc(C[NH3+])c3)c2=O)cc1C[NH3+],2ZEC.pdb,2ZEC_7_processed.sdf,actives,33,471.005,0,0.000629356,0.001258337,-8.774923396,-0.60695812,-0.26590677,-0.01839267,6.399053982,0.45973803,6.499943256,0.449598607
test150,NC(=[NH2+])N1CCC[C@H](C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCc4ccccn4)CC3)[C@@H]2C(=O)[O-])C1,2ZEC.pdb,2ZEC_8_processed.sdf,actives,39,541.653,0,0.599875341,0.4897961,-9.060081329,-0.763523817,-0.232309778,-0.019577534,6.86917448,0.492640672,6.711171355,0.565573198
test152,[NH3+]Cc1cccc(C2CCN(C(=O)c3cn(-c4nccs4)c4ccccc34)CC2)c1,2ZEC.pdb,2ZEC_9_processed.sdf,actives,30,417.558,0,0.576122896,0.365093801,-7.764491057,-0.735704749,-0.258816369,-0.024523492,5.800895691,0.412595859,5.751474857,0.544966481
test174,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,3BZ3.pdb,3BZ3_0_processed.sdf,actives,35,507.498,0,1,0,-11.58308073,-0.44441855,-0.330945164,-0.012697673,8.397946835,0.31892563,8.580059801,0.329198926
test215,C[C@@H](C(=O)N(C)C)N(CC(F)(F)F)c1ccc(C#N)c(C(F)(F)F)c1,3G8O.pdb,3G8O_0_processed.sdf,actives,25,367.293,0,1,0,-9.020860781,-0.404256539,-0.360834431,-0.016170262,6.769983837,0.450537796,6.682119097,0.299449288
test216,C[NH2+][C@H]1[C@H]2O[C@@](C[C@H]([NH3+])C(=O)[O-])(C(=O)[O-])C[C@H]2OC[C@H]1O,3GBA.pdb,3GBA_0_processed.sdf,actives,21,304.299,0,1,0,-9.102587383,-1.29890084,-0.433456542,-0.061852421,6.799394335,1.01215635,6.742657321,0.96214877
test217,[NH3+][C@@H](C[C@]1(C(=O)[O-])C[C@H]2OCCC[C@H]2O1)C(=O)[O-],3GBB.pdb,3GBB_0_processed.sdf,actives,18,258.25,0,1,0,-8.274219867,-1.020481705,-0.459678882,-0.056693428,6.173722335,0.735825853,6.129051753,0.755912374
test218,C[N@H+]1CC[C@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,3HQ5.pdb,3HQ5_0_processed.sdf,actives,27,394.848,0,1,0,-10.98276649,-0.441685696,-0.406769129,-0.016358729,8.060584,0.3612315,8.135382584,0.327174589
test219,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],3HS6.pdb,3HS6_0_processed.sdf,actives,22,301.45,0,0.999999952,9.54E-08,-8.551460746,-0.766777632,-0.388702761,-0.034853529,6.046219553,0.487464178,6.334415368,0.567983431
test220,Cc1ccccc1CN(c1ccc(C#N)c(Cl)c1)[C@H]1CCN(S(C)(=O)=O)C1,3KBA.pdb,3KBA_0_processed.sdf,actives,27,403.935,0,0.999999499,1.00E-06,-11.51338011,-0.405922003,-0.426421486,-0.015034148,8.423335212,0.398037653,8.528429713,0.300682965
test241,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],3L3N.pdb,3L3N_0_processed.sdf,actives,36,494.592,0,1,0,-10.93367829,-0.811874188,-0.303713286,-0.022552061,8.257374082,0.933546659,8.099020958,0.601388287
test242,O=C([O-])C1=Cc2cc(Cl)cc(Cl)c2O[C@@H]1C(F)(F)F,3LN0.pdb,3LN0_0_processed.sdf,actives,19,312.05,0,0.99955765,0.000652676,-7.175279689,-0.863248372,-0.377646299,-0.045434125,5.513345855,0.706928792,5.315021992,0.639443238
